date,Steer_ID,steplength,turnangle,moverate,bout_mins
2019-08-08,d03,27.546444398077707,64.08092156314919,5.51381710951451,58.15384615384615
2019-08-08,d04,22.94733410085815,55.875404280855136,4.179722635897655,83.33333333333333
2019-08-08,d06,11.35819949432769,75.06324596323984,2.172373760547481,45.53333333333333
2019-08-08,d10,23.944014030054895,63.45471068094486,4.57251226378405,79.42857142857143
2019-08-08,d14,20.67260180470112,44.34953087688243,3.9717241352979666,80.71428571428571
2019-08-08,d15,21.750954429395872,51.34802924704909,4.253867867589707,61.1
2019-08-08,d17,21.58801801711853,48.01502534733757,4.116988157323718,112.33333333333333
2019-08-08,d18,33.53463153968133,38.18232444193483,6.63564435538897,97.66666666666667
2019-08-08,d19,31.665070559642185,70.07125407148861,5.981467615576833,65.8
2019-08-08,d24,20.697766380338166,61.62566988616284,3.95908982694853,78.44444444444444
